xy_1,xy_2,fingerprint_1,fingerprint_2,fingerprint_3,fingerprint_4,fingerprint_5,fingerprint_6,fingerprint_7,fingerprint_8,fingerprint_9,fingerprint_10,fingerprint_11,fingerprint_12,fingerprint_13,fingerprint_14,fingerprint_15,fingerprint_16,fingerprint_17,fingerprint_18,fingerprint_19,fingerprint_20,fingerprint_21,fingerprint_22,fingerprint_23,fingerprint_24,fingerprint_25
0,40,0,0,-98.525,-86.0590163934426,0,-72.0793201133145,0,0,0,0,-91.5294117647059,-88.5792452830189,-90.3006644518272,0,0,0,0,0,0,0,0,0,0,0,-96.3813559322034
0,42,0,0,-95.9318181818182,-87.2270916334661,-95.2612612612613,-70.2887189292543,0,0,0,0,-92.1032110091743,-88.8271028037383,-90.3492723492724,0,0,0,0,0,0,0,0,0,0,0,-94.5934579439252
0,44,0,0,-97.125,-84.9318518518518,0,-76.1531034482759,0,0,0,0,-92.7364864864865,-88.1570247933884,-84.2959381044487,0,0,0,0,0,0,0,0,0,0,0,-92.6177777777778
0,46,0,0,-96.78125,-83.8825831702544,0,-73.6036697247706,0,0,0,0,-93.7242524916944,-85.3238095238095,-85.4204545454545,0,0,0,0,0,0,0,0,0,0,0,-97.0176991150443
0,48,0,0,-95.7142857142857,-81.1738578680203,0,-77.0744544287548,0,0,0,0,-93.5570175438596,-80.1193467336683,-91.9475262368816,0,0,0,0,0,0,0,0,0,0,0,-92.6539923954373
0,50,0,0,-97.82,-83.7353896103896,0,-76.7397708674304,0,0,0,0,-93.3454106280193,-79.9247863247863,-92.085201793722,0,0,0,0,0,0,0,0,0,0,0,-94.4356435643564
0,52,0,0,-97.4782608695652,-89.3571428571429,0,-80.3257328990228,0,0,0,0,-93.8342391304348,-84.1352549889135,-88.8377281947262,0,0,0,0,0,0,0,0,0,0,0,-98.1818181818182
0,54,0,0,0,-86.8159645232816,0,-78.7058823529412,0,0,0,0,-92.7100840336134,-86.4511111111111,-87.7506172839506,0,0,0,0,0,0,0,0,0,0,0,0
0,56,0,0,-98.25,-89.4092526690391,0,-71.6949740034662,0,0,0,0,-94.0727272727273,-89.4349442379182,-84.4157894736842,0,0,0,0,0,0,0,0,0,0,0,-97.9463414634146
0,58,0,0,-98.8611111111111,-89.6617954070981,0,-71.3118712273642,0,0,0,0,-98.6461538461539,-82.7453027139875,-86.3170212765957,0,0,0,0,0,0,0,0,0,0,0,-99.6190476190476
0,60,0,0,-98.1081081081081,-85.8571428571429,0,-74.2046070460705,0,0,0,0,-95.537750385208,-78.6162310866575,-87.1165048543689,0,0,0,0,0,0,0,0,0,0,0,-98.9761904761905
0,62,0,0,-99,-85.1853088480801,0,-70.7802197802198,0,0,0,0,-96.0173611111111,-82.4409448818898,-82.8990384615385,0,0,0,0,0,0,0,0,0,0,0,-97.5
0,64,0,0,-101,-87.2184368737475,0,-68.9155206286837,0,0,0,0,-94.2376237623762,-83.6452905811623,-87.2087682672234,0,0,0,0,0,0,0,0,0,0,0,-98.3846153846154
0,66,0,0,-99,-88.7885304659498,0,-74.4823529411765,0,0,0,0,-94.8536585365854,-82.3236797274276,-84.3015332197615,0,0,0,0,0,0,0,0,0,0,0,-99.1754385964912
0,68,0,0,0,-88.5424242424242,0,-72.1905697445973,0,0,0,0,-97.7185929648241,-82.101593625498,-89.0143149284254,0,0,0,0,0,0,0,0,0,0,0,-98
0,70,0,0,0,-89.7150837988827,0,-76.1353179972936,0,0,0,0,-94.96,-79.0942334739803,-83.2332878581173,0,0,0,0,0,0,0,0,0,0,0,-96.5
0,72,0,0,0,-92.7681992337165,0,-76.1994047619048,0,0,0,0,-98.2456140350877,-76.7157584683358,-84.6053571428571,0,0,0,0,0,0,0,0,0,0,0,-99.4285714285714
0,74,0,0,0,-90.0294117647059,0,-83.0941619585687,0,0,0,0,-98,-77.2342007434944,-82.8161764705882,0,0,0,0,0,0,0,0,0,0,0,-97
0,76,0,0,0,-91.5389344262295,0,-83.5859247135843,0,0,0,0,-97.0254237288136,-82.4059405940594,-86.2951127819549,0,0,0,0,0,0,0,0,0,0,0,-100.5
0,78,0,0,0,-90.7284345047923,0,-79.2899082568807,0,0,0,0,-95,-82.6188747731398,-85.2317518248175,0,0,0,0,0,0,0,0,0,0,0,-99.6
0,80,0,0,0,-92.4962406015038,0,-79.3238866396761,0,0,0,0,-94.3805668016194,-79.6625172890733,-80.8540540540541,0,0,0,0,0,0,0,0,0,0,0,0
0,82,0,0,0,-91.5550314465409,0,-81.6971935007385,0,0,0,0,-99.4324324324324,-78.9738372093023,-83.552677029361,0,0,0,0,0,0,0,0,0,0,0,0
0,84,0,0,0,-90.6935483870968,0,-82.7790262172285,0,0,0,0,-100,-81.7661596958175,-83.5009784735812,0,0,0,0,0,0,0,0,0,0,0,0
0,86,0,0,0,-91.3283582089552,0,-79.4612903225807,0,0,0,0,-97.5,-74.0145631067961,-81.8274760383387,0,0,0,0,0,0,0,0,0,0,0,0
0,88,0,0,0,-92.554054054054,0,-81.8137082601054,0,0,0,0,-99,-75.7402135231317,-79.0746812386157,0,0,0,0,0,0,0,0,0,0,0,0
0,90,0,0,0,-95.111620795107,0,-81.3953771289538,0,0,0,0,-98.25,-74.8615196078431,-77.626213592233,0,0,0,0,0,0,0,0,0,0,0,-103.5
0,92,0,0,0,-91.5681341719078,0,-81.4452247191011,0,0,0,0,-96.7294685990338,-76.4739069111424,-81.6087570621469,0,0,0,0,0,0,0,0,0,0,0,0
0,94,0,0,0,-91.6732283464567,0,-82.9591836734694,0,0,0,0,-97.3888888888889,-74.7042513863216,-83.4761029411765,0,0,0,0,0,0,0,0,0,0,0,-96
0,96,0,0,0,-92.5308641975309,0,-82.3021806853583,0,0,0,0,-100.4,-74.1669291338583,-81.122480620155,0,0,0,0,0,0,0,0,0,0,0,0
0,98,0,0,0,-95.5105263157895,0,-87.3542435424354,0,0,0,0,-96.046357615894,-75.538062283737,-77.1566901408451,0,0,0,0,0,0,0,0,0,0,0,0
